TIME	COR_X	COR_Y	VEL_X	VEL_Y	ACC_X	ACC_Y
1	0	0	212.2165	212.0476	0.0	0.0
2	211.9913	211.8227	211.7661	211.5979	-0.4504	-0.4496
3	423.5332	423.1968	211.3177	211.1502	-0.4484	-0.4477
4	634.6276	634.124	210.8711	210.7043	-0.4466	-0.4458
5	845.2764	844.6064	210.4265	210.2604	-0.4447	-0.444
6	1055.4814	1054.6457	209.9837	209.8183	-0.4428	-0.4421
7	1265.2446	1264.2439	209.5427	209.378	-0.4409	-0.4402
8	1474.5678	1473.4027	209.1036	208.9396	-0.4391	-0.4384
9	1683.4529	1682.1241	208.6664	208.5031	-0.4372	-0.4366
10	1891.9016	1890.4098	208.231	208.0684	-0.4354	-0.4347
11	2099.9157	2098.2617	207.7974	207.6354	-0.4336	-0.4329
12	2307.4972	2305.6815	207.3656	207.2043	-0.4318	-0.4311
13	2514.6478	2512.6712	206.9356	206.775	-0.43	-0.4293
14	2721.3693	2719.2324	206.5074	206.3474	-0.4282	-0.4276
15	2927.6634	2925.3669	206.0809	205.9216	-0.4265	-0.4258
16	3133.532	3131.0765	205.6562	205.4976	-0.4247	-0.424
17	3338.9767	3336.3629	205.2333	205.0753	-0.4229	-0.4223
18	3543.9994	3541.2279	204.8121	204.6547	-0.4212	-0.4206
19	3748.6017	3745.6732	204.3926	204.2359	-0.4195	-0.4188
20	3952.7854	3949.7006	203.9748	203.8188	-0.4178	-0.4171
21	4156.5522	4153.3116	203.5588	203.4033	-0.4161	-0.4154
22	4359.9038	4356.5081	203.1444	202.9896	-0.4144	-0.4137
23	4562.8419	4559.2917	202.7317	202.5776	-0.4127	-0.412
24	4765.3681	4761.6641	202.3207	202.1672	-0.411	-0.4104
25	4967.4842	4963.6269	201.9114	201.7585	-0.4093	-0.4087
26	5169.1917	5165.1819	201.5037	201.3514	-0.4077	-0.4071
27	5370.4924	5366.3306	201.0977	200.946	-0.406	-0.4054
28	5571.3879	5567.0747	200.6933	200.5422	-0.4044	-0.4038
29	5771.8797	5767.4158	200.2905	200.14	-0.4028	-0.4022
30	5971.9696	5967.3555	199.8893	199.7395	-0.4012	-0.4006
31	6171.6592	6166.8955	199.4898	199.3405	-0.3996	-0.399
32	6370.95	6366.0373	199.0918	198.9431	-0.398	-0.3974
33	6569.8436	6564.7826	198.6954	198.5474	-0.3964	-0.3958
34	6768.3416	6763.1328	198.3006	198.1531	-0.3948	-0.3942
35	6966.4456	6961.0896	197.9074	197.7605	-0.3932	-0.3926
36	7164.1572	7158.6546	197.5157	197.3694	-0.3917	-0.3911
37	7361.4779	7355.8292	197.1256	196.9799	-0.3901	-0.3895
38	7558.4092	7552.6151	196.737	196.5918	-0.3886	-0.388
